Q1_gender,Q2_age,Q3_country,Q4_education,Q5_major,Q6_role,Q7_industry,Q8_experience,Q10_employer_uses_ml,Q17_primary_language,Q24_coding_experience,Q25_ml_experience,Q26_is_data_scientist,Q39_online_vs_trad,Q41_fairness_importance,Q43_bias_exploration,Q48_black_box_view,compensation_high
Prefer not to say,18-21,United Kingdom,Some college/no degree,Mathematics/Statistics,Data Analyst,Other,2-3 years,Yes,Other,1-2 years,20+ years,Sort of,Much better,Somewhat Important,1-25%,Yes,low
Male,30-34,Canada,Some college/no degree,Engineering,Software Engineer,Technology,5-10 years,Yes,Java,5-10 years,5-10 years,Sort of,Slightly worse,Very Important,1-25%,No,high
Male,35-39,Brazil,Bachelor's degree,Computer Science,Data Scientist,Technology,3-5 years,Yes,Python,10-20 years,< 1 year,No,Slightly better,Important,25-49%,Yes,high
Male,30-34,Other,Master's degree,Engineering,Other,Finance,3-5 years,Yes,JavaScript,20+ years,10-20 years,Yes,Slightly better,Important,25-49%,No,high
Female,22-24,United States,Bachelor's degree,Mathematics/Statistics,Data Scientist,Retail/E-Commerce,5-10 years,Yes,C/C++,3-5 years,< 1 year,Yes,Slightly better,Very Important,50-74%,No,high
Male,55-59,Australia,Some college/no degree,Natural Sciences,Student,Finance,5-10 years,No,Java,3-5 years,< 1 year,Sort of,Neither better nor worse,Somewhat Important,50-74%,No,low
Male,30-34,United States,Master's degree,Engineering,Software Engineer,Technology,0-1 years,We are exploring ML methods,R,1-2 years,3-5 years,No,Much better,Important,0%,No,low
Male,30-34,United States,Bachelor's degree,Computer Science,Other,Education/Research,0-1 years,Yes,C/C++,10-20 years,< 1 year,Yes,Neither better nor worse,Important,1-25%,Somewhat,low
Male,25-29,India,Bachelor's degree,Engineering,Software Engineer,Technology,2-3 years,Yes,Java,3-5 years,< 1 year,Sort of,Slightly better,Important,1-25%,Somewhat,low
Male,30-34,United States,Bachelor's degree,Natural Sciences,Software Engineer,Finance,3-5 years,Yes,Python,5-10 years,10-20 years,Yes,Slightly worse,Important,75-100%,Yes,high
Male,25-29,Australia,Master's degree,Engineering,Research Scientist,Technology,2-3 years,We are exploring ML methods,Other,20+ years,20+ years,No,Neither better nor worse,Somewhat Important,1-25%,No,high
Female,18-21,Other,Master's degree,Mathematics/Statistics,Other,Retail/E-Commerce,5-10 years,No,Python,10-20 years,5-10 years,Sort of,Much better,Very Important,25-49%,No,low
Male,22-24,Other,Master's degree,Engineering,Other,Other,1-2 years,Yes,Python,< 1 year,3-5 years,No,Slightly better,Somewhat Important,0%,No,low
Male,40-44,Other,Master's degree,Computer Science,Machine Learning Engineer,Healthcare,5-10 years,I do not know,SQL,< 1 year,10-20 years,Yes,Slightly better,Important,1-25%,Yes,high
Male,25-29,India,Bachelor's degree,Natural Sciences,Machine Learning Engineer,Finance,5-10 years,Yes,R,10-20 years,< 1 year,No,Neither better nor worse,Important,0%,No,high
Male,22-24,United States,Bachelor's degree,Computer Science,Research Scientist,Education/Research,1-2 years,Yes,Java,5-10 years,10-20 years,Yes,Neither better nor worse,Very Important,1-25%,Yes,low
Male,30-34,Other,Bachelor's degree,Mathematics/Statistics,Machine Learning Engineer,Technology,5-10 years,Yes,Python,10-20 years,1-2 years,No,Slightly worse,Very Important,50-74%,Yes,high
Male,35-39,China,Doctoral degree,Computer Science,Student,Healthcare,20+ years,Yes,Python,1-2 years,5-10 years,No,Much better,Important,0%,Somewhat,high
Male,18-21,India,Bachelor's degree,Computer Science,Data Analyst,Education/Research,1-2 years,No,Python,10-20 years,3-5 years,Sort of,Much better,Very Important,1-25%,No,low
Female,30-34,Brazil,Master's degree,Engineering,Research Scientist,Government,15-20 years,Yes,Python,10-20 years,10-20 years,Yes,Neither better nor worse,No opinion,75-100%,Yes,high
Male,22-24,United States,Bachelor's degree,Engineering,Data Analyst,Technology,5-10 years,I do not know,SQL,10-20 years,5-10 years,Sort of,Neither better nor worse,Not Important,0%,Yes,high
Male,18-21,United States,Bachelor's degree,Natural Sciences,Research Scientist,Healthcare,3-5 years,No,Python,3-5 years,5-10 years,No,Neither better nor worse,Important,0%,No,low
Male,18-21,United States,Master's degree,Natural Sciences,Student,Healthcare,0-1 years,Yes,Python,3-5 years,3-5 years,No,Slightly better,Very Important,1-25%,No,low
Male,40-44,India,Master's degree,Natural Sciences,Software Engineer,Technology,5-10 years,No,Python,1-2 years,5-10 years,Yes,Much worse,Not Important,50-74%,Yes,high
Male,22-24,Russia,Master's degree,Engineering,Data Scientist,Education/Research,3-5 years,Yes,SQL,20+ years,5-10 years,Yes,Slightly better,Somewhat Important,1-25%,No,high
Male,18-21,Russia,Master's degree,Mathematics/Statistics,Data Analyst,Other,5-10 years,Yes,Python,1-2 years,< 1 year,No,Slightly better,Very Important,1-25%,Somewhat,high
Male,25-29,India,Master's degree,Mathematics/Statistics,Data Scientist,Other,10-15 years,No,R,1-2 years,3-5 years,Sort of,Slightly better,Important,0%,No,high
Male,40-44,Other,Bachelor's degree,Engineering,Data Analyst,Healthcare,3-5 years,We are exploring ML methods,Python,1-2 years,< 1 year,No,Much better,Somewhat Important,75-100%,No,low
Male,25-29,China,Master's degree,Mathematics/Statistics,Business Analyst,Technology,1-2 years,Yes,Python,10-20 years,5-10 years,Sort of,Slightly worse,Very Important,0%,No,low
Male,25-29,United States,Master's degree,Business,Research Scientist,Government,1-2 years,Yes,C/C++,10-20 years,< 1 year,No,Much better,Very Important,0%,No,high
Male,18-21,United States,Bachelor's degree,Computer Science,Student,Education/Research,1-2 years,Yes,Python,10-20 years,20+ years,Sort of,Slightly better,Important,1-25%,Somewhat,low
Male,25-29,Australia,Master's degree,Business,Data Scientist,Technology,10-15 years,We are exploring ML methods,R,5-10 years,1-2 years,Yes,Much better,Very Important,1-25%,Yes,high
Male,30-34,Other,Bachelor's degree,Computer Science,Business Analyst,Technology,1-2 years,We are exploring ML methods,SQL,20+ years,< 1 year,Sort of,Much better,Very Important,1-25%,Somewhat,low
Male,30-34,Australia,Bachelor's degree,Engineering,Research Scientist,Technology,2-3 years,I do not know,R,< 1 year,10-20 years,Sort of,Slightly worse,Very Important,25-49%,Yes,high
Male,25-29,India,Master's degree,Computer Science,Data Scientist,Technology,2-3 years,Yes,SQL,10-20 years,< 1 year,Sort of,Slightly worse,Not Important,50-74%,Yes,low
Female,25-29,China,Doctoral degree,Mathematics/Statistics,Research Scientist,Healthcare,10-15 years,We are exploring ML methods,SQL,3-5 years,1-2 years,Sort of,Slightly better,Somewhat Important,0%,No,high
Male,22-24,United States,Some college/no degree,Computer Science,Other,Technology,3-5 years,Yes,R,3-5 years,5-10 years,Yes,Slightly better,Important,1-25%,Yes,low
Male,25-29,United States,Bachelor's degree,Business,Data Scientist,Technology,20+ years,Yes,Python,1-2 years,1-2 years,No,Slightly worse,Important,1-25%,No,high
Male,22-24,Other,Master's degree,Social Sciences,Research Scientist,Finance,5-10 years,No,Python,< 1 year,3-5 years,Yes,Neither better nor worse,Somewhat Important,0%,Somewhat,high
Male,35-39,India,Master's degree,Mathematics/Statistics,Business Analyst,Finance,10-15 years,I do not know,Java,3-5 years,3-5 years,Yes,Neither better nor worse,Important,25-49%,No,high
Male,50-54,United States,Bachelor's degree,Engineering,Data Scientist,Technology,0-1 years,I do not know,Other,1-2 years,10-20 years,Yes,Neither better nor worse,Very Important,0%,Yes,low
Male,55-59,United States,Doctoral degree,Business,Research Scientist,Technology,1-2 years,I do not know,Python,5-10 years,< 1 year,Yes,Neither better nor worse,Somewhat Important,0%,No,low
Male,40-44,United States,Doctoral degree,Social Sciences,Data Analyst,Technology,1-2 years,We are exploring ML methods,Python,1-2 years,< 1 year,No,Slightly better,Very Important,0%,Yes,low
Female,30-34,China,Some college/no degree,Engineering,Software Engineer,Education/Research,3-5 years,Yes,Python,1-2 years,3-5 years,No,Neither better nor worse,Important,0%,Somewhat,low
Female,35-39,India,Bachelor's degree,Natural Sciences,Research Scientist,Technology,5-10 years,I do not know,R,10-20 years,1-2 years,Yes,Neither better nor worse,Not Important,0%,Somewhat,high
Male,25-29,United States,Bachelor's degree,Mathematics/Statistics,Data Scientist,Education/Research,1-2 years,Yes,Python,20+ years,1-2 years,No,Slightly worse,Very Important,0%,Somewhat,low
Female,30-34,United States,Doctoral degree,Mathematics/Statistics,Machine Learning Engineer,Technology,1-2 years,Yes,SQL,20+ years,1-2 years,Yes,Slightly better,Somewhat Important,25-49%,Somewhat,high
Female,25-29,United States,Master's degree,Engineering,Data Scientist,Technology,5-10 years,Yes,JavaScript,5-10 years,3-5 years,Yes,Slightly better,Very Important,0%,No,high
Male,30-34,Other,Some college/no degree,Engineering,Software Engineer,Finance,1-2 years,We are exploring ML methods,Other,10-20 years,5-10 years,No,Slightly better,No opinion,50-74%,Somewhat,low
Female,35-39,United States,Bachelor's degree,Computer Science,Data Analyst,Technology,3-5 years,We are exploring ML methods,Python,10-20 years,< 1 year,Yes,Neither better nor worse,Somewhat Important,0%,No,low
Male,25-29,China,Master's degree,Engineering,Software Engineer,Technology,0-1 years,Yes,JavaScript,5-10 years,1-2 years,No,Neither better nor worse,No opinion,1-25%,No,low
Female,25-29,United States,Master's degree,Mathematics/Statistics,Software Engineer,Technology,5-10 years,No,SQL,3-5 years,3-5 years,Yes,Slightly better,Somewhat Important,0%,No,high
Female,45-49,United States,Bachelor's degree,Other,Student,Technology,3-5 years,Yes,Python,1-2 years,< 1 year,No,Neither better nor worse,Very Important,1-25%,No,low
Male,18-21,Germany,Master's degree,Other,Business Analyst,Healthcare,5-10 years,Yes,Python,3-5 years,3-5 years,Yes,Neither better nor worse,No opinion,0%,No,high
Male,30-34,China,Master's degree,Mathematics/Statistics,Student,Technology,2-3 years,Yes,R,10-20 years,1-2 years,Yes,Slightly better,Somewhat Important,0%,No,low
Male,45-49,United States,Bachelor's degree,Mathematics/Statistics,Data Analyst,Government,2-3 years,Yes,JavaScript,5-10 years,1-2 years,Yes,Slightly better,Important,1-25%,No,high
Male,30-34,Russia,Bachelor's degree,Computer Science,Student,Retail/E-Commerce,10-15 years,Yes,Python,3-5 years,1-2 years,Sort of,Slightly worse,Important,1-25%,Somewhat,high
Female,30-34,India,Master's degree,Mathematics/Statistics,Business Analyst,Healthcare,5-10 years,No,Python,< 1 year,1-2 years,Yes,Neither better nor worse,Important,0%,Yes,low
Female,25-29,Russia,Master's degree,Computer Science,Data Analyst,Technology,3-5 years,Yes,Python,3-5 years,5-10 years,Yes,Neither better nor worse,Important,25-49%,Somewhat,low
Male,25-29,Other,Doctoral degree,Computer Science,Software Engineer,Retail/E-Commerce,5-10 years,No,Other,10-20 years,10-20 years,Yes,Slightly worse,Important,0%,Somewhat,high
Male,40-44,China,Bachelor's degree,Mathematics/Statistics,Data Scientist,Technology,0-1 years,Yes,Other,5-10 years,3-5 years,No,Slightly better,Not Important,0%,No,low
Male,30-34,Australia,Bachelor's degree,Engineering,Data Analyst,Technology,10-15 years,I do not know,Python,3-5 years,3-5 years,Yes,Slightly better,Very Important,0%,Yes,high
Male,30-34,United States,Professional degree,Computer Science,Business Analyst,Technology,5-10 years,No,Python,3-5 years,< 1 year,Yes,Slightly better,Important,1-25%,No,high
Male,22-24,Other,Some college/no degree,Social Sciences,Research Scientist,Other,3-5 years,I do not know,Java,5-10 years,3-5 years,Sort of,Slightly better,Not Important,75-100%,Yes,low
Male,18-21,India,Bachelor's degree,Engineering,Machine Learning Engineer,Technology,15-20 years,Yes,SQL,20+ years,3-5 years,Yes,Slightly worse,Very Important,1-25%,No,high
Female,50-54,United States,Doctoral degree,Computer Science,Data Scientist,Other,1-2 years,Yes,Other,20+ years,< 1 year,No,Much better,Important,1-25%,No,low
Male,25-29,United States,Bachelor's degree,Computer Science,Data Scientist,Technology,5-10 years,We are exploring ML methods,Java,< 1 year,< 1 year,Sort of,Slightly better,Very Important,0%,No,high
Male,30-34,United States,Bachelor's degree,Computer Science,Data Analyst,Government,20+ years,Yes,Python,5-10 years,1-2 years,Yes,Slightly better,Important,25-49%,Yes,high
Male,18-21,Other,Bachelor's degree,Computer Science,Other,Government,2-3 years,Yes,SQL,3-5 years,< 1 year,No,Much worse,Important,0%,Yes,low
Male,35-39,Other,Bachelor's degree,Natural Sciences,Software Engineer,Other,0-1 years,We are exploring ML methods,Python,5-10 years,3-5 years,Yes,Neither better nor worse,No opinion,25-49%,No,low
Non-binary/third gender,50-54,Other,Doctoral degree,Engineering,Student,Finance,5-10 years,Yes,SQL,5-10 years,10-20 years,Sort of,Neither better nor worse,Somewhat Important,50-74%,No,low
Non-binary/third gender,30-34,United States,Master's degree,Social Sciences,Data Scientist,Government,0-1 years,No,R,1-2 years,5-10 years,Sort of,Much better,Important,25-49%,Yes,high
Male,22-24,India,Professional degree,Computer Science,Research Scientist,Other,10-15 years,Yes,JavaScript,10-20 years,1-2 years,Yes,Slightly better,Not Important,1-25%,Yes,high
Male,30-34,United Kingdom,Master's degree,Engineering,Research Scientist,Technology,0-1 years,Yes,Other,5-10 years,1-2 years,Yes,Slightly worse,Very Important,1-25%,Yes,low
Male,35-39,India,Master's degree,Mathematics/Statistics,Student,Finance,5-10 years,Yes,Python,20+ years,1-2 years,No,Neither better nor worse,Important,1-25%,Somewhat,high
Male,25-29,Other,Master's degree,Mathematics/Statistics,Data Scientist,Healthcare,2-3 years,Yes,Python,< 1 year,3-5 years,Sort of,Much better,Important,0%,No,low
Male,40-44,Brazil,Professional degree,Mathematics/Statistics,Data Scientist,Technology,1-2 years,Yes,Python,1-2 years,1-2 years,Yes,Neither better nor worse,Very Important,25-49%,Somewhat,low
Male,30-34,Brazil,Master's degree,Business,Data Scientist,Healthcare,10-15 years,I do not know,Java,5-10 years,1-2 years,Sort of,Slightly better,No opinion,1-25%,No,high
Male,45-49,Other,Doctoral degree,Computer Science,Business Analyst,Technology,5-10 years,We are exploring ML methods,SQL,5-10 years,3-5 years,Sort of,Slightly better,Somewhat Important,1-25%,Somewhat,low
Male,30-34,Germany,Some college/no degree,Engineering,Data Scientist,Education/Research,2-3 years,No,Other,5-10 years,1-2 years,Yes,Neither better nor worse,Not Important,1-25%,No,low
Male,22-24,India,Bachelor's degree,Business,Data Scientist,Technology,2-3 years,Yes,R,20+ years,< 1 year,Sort of,Slightly better,No opinion,0%,No,low
Female,25-29,Germany,Master's degree,Computer Science,Data Analyst,Technology,5-10 years,I do not know,Python,3-5 years,< 1 year,Yes,Slightly worse,Important,25-49%,No,high
Male,22-24,United States,Doctoral degree,Computer Science,Data Analyst,Technology,10-15 years,No,Python,3-5 years,1-2 years,No,Neither better nor worse,Somewhat Important,0%,Yes,high
Male,45-49,United States,Some college/no degree,Computer Science,Student,Retail/E-Commerce,5-10 years,Yes,Python,20+ years,3-5 years,Yes,Slightly worse,Important,50-74%,Yes,low
Male,35-39,United States,Bachelor's degree,Mathematics/Statistics,Business Analyst,Technology,5-10 years,Yes,R,5-10 years,1-2 years,No,Slightly better,No opinion,75-100%,Yes,high
Prefer not to say,30-34,Brazil,Master's degree,Computer Science,Data Analyst,Retail/E-Commerce,1-2 years,I do not know,JavaScript,3-5 years,< 1 year,No,Neither better nor worse,Very Important,25-49%,No,low
Male,25-29,India,Master's degree,Computer Science,Business Analyst,Retail/E-Commerce,10-15 years,No,Python,10-20 years,1-2 years,No,Neither better nor worse,Very Important,0%,No,high
Male,22-24,United States,Bachelor's degree,Engineering,Machine Learning Engineer,Finance,5-10 years,We are exploring ML methods,Java,5-10 years,< 1 year,No,Neither better nor worse,Very Important,50-74%,No,high
